sequence,offset,event,event_name,phase,phase_name,pid,tid,qpc,data_len,aux0,aux1
880,516480,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136949400,640,176,192
881,517172,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136949433,4,180,192
882,517228,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136949470,4,184,192
883,517284,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136949504,4,188,192
884,517340,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136949535,4,192,192
885,517396,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136949565,640,192,192
886,518088,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136951106,640,192,192
887,518780,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136951139,4,196,192
888,518836,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136951170,4,200,192
889,518892,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136951200,4,204,192
890,518948,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136951231,4,208,192
891,519004,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136951261,640,208,192
892,519696,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136952710,640,208,192
893,520388,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136952748,4,212,192
894,520444,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136952781,4,216,192
895,520500,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136952814,4,220,192
896,520556,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136952848,4,224,192
897,520612,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136952878,640,224,192
898,521304,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136954462,640,224,192
899,521996,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136954497,4,228,192
900,522052,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136954532,4,232,192
901,522108,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136954563,4,236,192
902,522164,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136954596,4,240,192
903,522220,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136954626,640,240,192
904,522912,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136956073,640,240,192
905,523604,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136956107,4,244,192
906,523660,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136956138,8,248,192
907,523720,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136956171,8,256,192
908,523780,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136956201,640,256,192
909,524472,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136957754,640,256,192
910,525164,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136957808,32,264,192
911,525248,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136957840,640,272,192
912,525940,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136959439,640,272,192
913,526632,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136959474,640,288,192
914,527324,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136960988,640,288,192
915,528016,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136961056,8,296,192
916,528076,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136961088,8,304,192
917,528136,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136961119,640,304,192
918,528828,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136962572,640,304,192
919,529520,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136962604,8,312,192
920,529580,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136962635,8,320,192
921,529640,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136962665,640,320,192
922,530332,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136964118,640,320,192
923,531024,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136964152,8,328,192
924,531084,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136964183,8,336,192
925,531144,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136964213,640,336,192
926,531836,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136965716,640,336,192
927,532528,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136965755,8,344,192
928,532588,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136965787,8,352,192
929,532648,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136965818,640,352,192
930,533340,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136967268,640,352,192
931,534032,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136967301,4,360,192
932,534088,10,RANDADD_INT32,3,SALT_RNG,1960,1964,136967331,4,364,192
933,534144,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136967391,8,368,192
934,534204,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136967420,640,368,192
935,534896,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136968896,640,368,192
936,535588,43,CGR_FAST_OUT,3,SALT_RNG,1960,1964,136969026,640,376,192
937,536280,44,CGR_FAST_POOL_PRE,3,SALT_RNG,1960,1964,136969059,640,376,192
938,536972,11,RANDADD_BUF,3,SALT_RNG,1960,1964,136969095,640,376,192
939,537664,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136969126,640,384,192
940,538356,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136970577,640,384,192
941,539048,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136970608,640,400,192
942,539740,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136972133,640,400,192
943,540432,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136972166,640,416,192
944,541124,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136973623,640,416,192
945,541816,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136973655,640,432,192
946,542508,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136975104,640,432,192
947,543200,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136975135,640,448,192
948,543892,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136976610,640,448,192
949,544584,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136976643,640,464,192
950,545276,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136978098,640,464,192
951,545968,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136978130,640,480,192
952,546660,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136979605,640,480,192
953,547352,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136979638,640,496,192
954,548044,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136981127,640,496,192
955,548736,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136981160,640,512,192
956,549428,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136982701,640,512,192
957,550120,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136982735,640,528,192
958,550812,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136984187,640,528,192
959,551504,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136984218,640,544,192
960,552196,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136985669,640,544,192
961,552888,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136985700,640,560,192
962,553580,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136987180,640,560,192
963,554272,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136987213,640,576,192
964,554964,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136988665,640,576,192
965,555656,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136988696,640,592,192
966,556348,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136991682,640,592,192
967,557040,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136991826,640,608,192
968,557732,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136993888,640,608,192
969,558424,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136993930,640,624,192
970,559116,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136995709,640,624,192
971,559808,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136995747,640,0,192
972,560500,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136997447,640,0,192
973,561192,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136997485,640,16,192
974,561884,21,RANDMIX_POST,3,SALT_RNG,1960,1964,136998933,640,16,192
975,562576,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,136998964,640,32,192
976,563268,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137000543,640,32,192
977,563960,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137000585,640,48,192
978,564652,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137002072,640,48,192
979,565344,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137002113,640,64,192
980,566036,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137003631,640,64,192
981,566728,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137003662,640,80,192
982,567420,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137005342,640,80,192
983,568112,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137005389,640,96,192
984,568804,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137006916,640,96,192
985,569496,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137006957,640,112,192
986,570188,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137008512,640,112,192
987,570880,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137008546,640,128,192
988,571572,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137009998,640,128,192
989,572264,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137010029,640,144,192
990,572956,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137011659,640,144,192
991,573648,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137011699,640,160,192
992,574340,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137013148,640,160,192
993,575032,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137013178,640,176,192
994,575724,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137014684,640,176,192
995,576416,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137014717,640,192,192
996,577108,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137016166,640,192,192
997,577800,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137016203,640,208,192
998,578492,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137017649,640,208,192
999,579184,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137017680,640,224,192
1000,579876,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137019150,640,224,192
1001,580568,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137019183,640,240,192
1002,581260,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137020632,640,240,192
1003,581952,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137020668,640,256,192
1004,582644,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137022139,640,256,192
